event_type,horizon_steps,horizon_minutes,n_patients,patient_mean_diff,patient_std_diff,patient_min_diff,patient_max_diff
bolus_volume_delivered,6,30,22,7.631279640227668,15.031060168988615,-24.236245954692556,36.46914571071875
bolus_volume_delivered,12,60,22,5.899045911259702,24.76531648948684,-52.04761904761905,60.16265306122449
bolus_volume_delivered,18,90,22,-2.702485703409622,25.52353259213708,-60.42857142857143,46.01156462585034
bolus_volume_delivered,24,120,22,-9.712661718453457,20.840925687671643,-43.26190476190477,26.3667211328976
carb_input,6,30,22,15.59594918127263,18.3163240215516,-32.48284313725491,45.99322493224932
carb_input,12,60,22,23.809576266205692,22.56277197265008,-32.00490196078431,68.01904934687954
carb_input,18,90,22,19.620656772506035,22.473872040785796,-32.61029411764706,56.80769230769231
carb_input,24,120,22,15.207411407655844,22.94948507660782,-28.830882352941174,67.61692466460269
steps,6,30,25,-5.16562140104108,5.169420276519098,-17.236275290370926,6.4312015503875966
steps,12,60,25,-6.283055042989975,8.043128811403179,-24.04248495268253,11.505779953760369
steps,18,90,25,-7.435939008207619,9.333836067306486,-27.849037828651554,7.483566798132282
steps,24,120,25,-7.9964092620039,10.61744144609231,-31.94426232527731,6.939104187774401
