event_subtype,horizon_steps,horizon_minutes,n_events,mean_delta_event,std_delta_event,n_control,mean_delta_control,mean_delta_diff
bolus_meal,6,30,1641,8.942386302507668,30.720162115618823,1644,0.22251471829172612,8.71987158421594
bolus_meal,12,60,1641,11.874081870443472,46.489941032089774,1643,0.9863275963660479,10.887754274077425
bolus_meal,18,90,1638,7.586086371924763,54.59010294437668,1642,1.59646876882229,5.989617603102473
bolus_meal,24,120,1635,4.40683218040612,58.90105849229889,1639,2.0199856941003076,2.3868464863058123
bolus_correction,6,30,1945,0.14358789202785274,28.30032275403014,1946,0.018724910704443543,0.1248629813234092
bolus_correction,12,60,1944,-11.121563708775858,49.0171745277612,1946,-0.4541497397290561,-10.667413969046802
bolus_correction,18,90,1944,-21.99597573710649,59.83433152004751,1946,-0.4326684303148024,-21.56330730679169
bolus_correction,24,120,1944,-29.565953948973686,63.09452671461215,1945,0.1312497760954257,-29.697203725069112
carb_meal,6,30,1597,9.34695938113741,30.838978415409738,1601,0.7835114057586104,8.5634479753788
carb_meal,12,60,1597,13.161658666704742,46.19551715889583,1599,1.1273442688155335,12.034314397889208
carb_meal,18,90,1594,9.057716116957419,54.38489664708262,1599,1.1980762573142674,7.859639859643152
carb_meal,24,120,1591,5.78710905349428,58.85244662112089,1598,1.3086268038269586,4.478482249667321
carb_solo,6,30,1044,7.136702348999509,25.768106608236454,1045,0.3277045454105998,6.808997803588909
carb_solo,12,60,1044,18.874617220044875,36.14826126126649,1045,0.7620905900062755,18.1125266300386
carb_solo,18,90,1043,23.32423399672286,41.63337743509458,1045,0.59771818917168,22.72651580755118
carb_solo,24,120,1043,26.610670280467897,46.05642092973438,1045,0.9875162873972266,25.62315399307067
