best_alpha,horizon_idx,feature,coef,abs_coef
0.1,0,glucose_60m_mean_lag0,-1225.4273681640625,1225.4273681640625
0.1,0,glucose_60m_mean_lag1,-871.8243408203125,871.8243408203125
0.1,0,glucose_30m_mean_lag0,691.6223754882812,691.6223754882812
0.1,0,glucose_60m_mean_lag2,-512.3268432617188,512.3268432617188
0.1,0,glucose_30m_mean_lag1,448.3911437988281,448.3911437988281
0.1,0,glucose_60m_mean_lag14,-315.5273742675781,315.5273742675781
0.1,0,glucose_30m_mean_lag2,311.1762390136719,311.1762390136719
0.1,0,glucose_60m_mean_lag15,-298.6573486328125,298.6573486328125
0.1,0,glucose_60m_mean_lag7,261.0404357910156,261.0404357910156
0.1,0,glucose_60m_mean_lag6,260.163330078125,260.163330078125
0.1,0,glucose_60m_mean_lag13,-251.85400390625,251.85400390625
0.1,0,glucose_60m_mean_lag16,-223.424560546875,223.424560546875
0.1,0,glucose_30m_mean_lag3,220.84710693359375,220.84710693359375
0.1,0,glucose_60m_mean_lag8,216.0687713623047,216.0687713623047
0.1,0,glucose_60m_mean_lag3,-202.47584533691406,202.47584533691406
0.1,1,glucose_60m_mean_lag0,-1270.63525390625,1270.63525390625
0.1,1,glucose_60m_mean_lag1,-807.95068359375,807.95068359375
0.1,1,glucose_30m_mean_lag0,658.47998046875,658.47998046875
0.1,1,glucose_120m_mean_lag0,-428.9815368652344,428.9815368652344
0.1,1,glucose_60m_mean_lag6,409.65911865234375,409.65911865234375
0.1,1,glucose_30m_mean_lag1,391.6973876953125,391.6973876953125
0.1,1,glucose_60m_mean_lag7,388.9451599121094,388.9451599121094
0.1,1,glucose_60m_mean_lag2,-379.09429931640625,379.09429931640625
0.1,1,glucose_60m_mean_lag5,350.3946533203125,350.3946533203125
0.1,1,glucose_60m_mean_lag8,322.7076110839844,322.7076110839844
0.1,1,glucose_60m_mean_lag14,-263.77496337890625,263.77496337890625
0.1,1,glucose_60m_mean_lag15,-243.8459014892578,243.8459014892578
0.1,1,glucose_30m_mean_lag2,238.38482666015625,238.38482666015625
0.1,1,glucose_120m_mean_lag4,226.67044067382812,226.67044067382812
0.1,1,glucose_120m_mean_lag3,226.50759887695312,226.50759887695312
0.1,2,glucose_60m_mean_lag0,-1172.1553955078125,1172.1553955078125
0.1,2,glucose_120m_mean_lag0,-724.512939453125,724.512939453125
0.1,2,glucose_60m_mean_lag1,-654.9354858398438,654.9354858398438
0.1,2,glucose_30m_mean_lag0,530.0306396484375,530.0306396484375
0.1,2,glucose_60m_mean_lag6,457.5339050292969,457.5339050292969
0.1,2,glucose_60m_mean_lag5,428.47747802734375,428.47747802734375
0.1,2,glucose_60m_mean_lag7,416.1141357421875,416.1141357421875
0.1,2,glucose_60m_mean_lag8,340.6084289550781,340.6084289550781
0.1,2,glucose_60m_mean_lag4,315.72314453125,315.72314453125
0.1,2,glucose_30m_mean_lag1,298.75518798828125,298.75518798828125
0.1,2,glucose_60m_mean_lag9,243.49908447265625,243.49908447265625
0.1,2,glucose_120m_mean_lag3,240.5783233642578,240.5783233642578
0.1,2,glucose_120m_mean_lag4,235.0648193359375,235.0648193359375
0.1,2,glucose_60m_mean_lag2,-216.4506072998047,216.4506072998047
0.1,2,glucose_120m_mean_lag5,185.4110565185547,185.4110565185547
