model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step6_hybrid_v2_no_attn,val,30,mae,16.13608959197998,4.509387029926842,25
step6_hybrid_v2_no_attn,val,30,rmse,21.303424072265624,5.7328776148103335,25
step6_hybrid_v2_no_attn,val,60,mae,24.292934341430666,7.193024165509422,25
step6_hybrid_v2_no_attn,val,60,rmse,32.280959625244144,9.230385771175833,25
step6_hybrid_v2_no_attn,val,90,mae,31.70406726837158,9.50090837753017,25
step6_hybrid_v2_no_attn,val,90,rmse,41.66997161865234,12.425628421791222,25
step6_hybrid_v2_no_attn,test,30,mae,15.981025619506836,4.195297019343425,25
step6_hybrid_v2_no_attn,test,30,rmse,21.073036117553713,4.906997596969093,25
step6_hybrid_v2_no_attn,test,60,mae,23.854574394226074,6.26730971051253,25
step6_hybrid_v2_no_attn,test,60,rmse,31.898338890075685,8.000331293575353,25
step6_hybrid_v2_no_attn,test,90,mae,31.398812217712404,8.853175087407035,25
step6_hybrid_v2_no_attn,test,90,rmse,41.40342544555664,10.915125819521082,25
