threshold,val_cg_score,test_ep_30m,test_ep_60m,test_ep_90m,test_ap_30m,test_ap_60m,test_ap_90m
125,43.10678721097395,1.7608120035304502,4.042365401588703,5.542806707855251,87.52868490732568,77.16902030008826,74.68446601941747
120,43.219669757957874,1.7563989408649603,4.004854368932039,5.567078552515445,87.45366284201236,77.11385701676964,74.59620476610768
115,43.246222532253284,1.7453662842012356,3.9894086496028245,5.617828773168579,87.42497793468667,76.9748455428067,74.54986760812004
110,43.325579477864316,1.7453662842012356,3.9849955869373344,5.593556928508385,87.33009708737865,76.89982347749338,74.4593998234775
105,43.33089863522491,1.7409532215357457,3.9960282436010592,5.578111209179171,87.33009708737865,76.91968225948808,74.36231244483672
100,44.08207186220108,1.7210944395410415,3.9695498676081202,5.556045895851721,87.39629302736098,76.92850838481907,74.27405119152692
95,45.132100543202796,1.7475728155339805,3.9695498676081202,5.595763459841129,87.47572815533981,76.88217122683142,74.19902912621359
90,47.081045776747125,1.7387466902030009,3.9894086496028245,5.659752868490733,87.59708737864078,76.738746690203,74.0864960282436
85,49.00634819050269,1.7983230361871139,4.009267431597529,5.668578993821712,87.81994704324802,76.84466019417475,73.75110326566637
80,54.573937386919084,1.8402471315092674,4.09973521624007,5.8120035304501325,88.00308914386584,76.98367166813769,73.40026478375992
75,67.75175559567438,1.970432480141218,4.293909973521624,6.0238305383936455,88.31200353045013,77.07855251544572,73.61209179170345
