model,method,alpha,horizon_min,zone,q_mgdl
step6_v2_pers_resid,split,0.1,30,all,24.368
step6_v2_pers_resid,split,0.1,60,all,45.076
step6_v2_pers_resid,split,0.1,90,all,59.591
step6_v2_pers_resid,mondrian,0.1,30,hypo,14.999
step6_v2_pers_resid,mondrian,0.1,30,tir,22.97
step6_v2_pers_resid,mondrian,0.1,30,hyper,31.621
step6_v2_pers_resid,mondrian,0.1,60,hypo,34.408
step6_v2_pers_resid,mondrian,0.1,60,tir,39.901
step6_v2_pers_resid,mondrian,0.1,60,hyper,63.617
step6_v2_pers_resid,mondrian,0.1,90,hypo,54.3
step6_v2_pers_resid,mondrian,0.1,90,tir,49.798
step6_v2_pers_resid,mondrian,0.1,90,hyper,88.941
step6_v2_pers_resid,split,0.2,30,all,16.222
step6_v2_pers_resid,split,0.2,60,all,31.067
step6_v2_pers_resid,split,0.2,90,all,42.132
step6_v2_pers_resid,mondrian,0.2,30,hypo,8.963
step6_v2_pers_resid,mondrian,0.2,30,tir,15.427
step6_v2_pers_resid,mondrian,0.2,30,hyper,21.447
step6_v2_pers_resid,mondrian,0.2,60,hypo,22.907
step6_v2_pers_resid,mondrian,0.2,60,tir,27.997
step6_v2_pers_resid,mondrian,0.2,60,hyper,45.56
step6_v2_pers_resid,mondrian,0.2,90,hypo,38.339
step6_v2_pers_resid,mondrian,0.2,90,tir,36.126
step6_v2_pers_resid,mondrian,0.2,90,hyper,65.953
