feature,importance,importance_pct,horizon_min
glucose,36652.305,50.92987,30
glucose_velocity,10447.7,14.517505,30
glucose_30m_mean,3597.5024,4.998876,30
heart_rate_30m_mean,2732.81,3.7973506,30
insulin_on_board,1877.2946,2.6085773,30
basal_coverage_24h,1737.8698,2.4148407,30
glucose_60m_mean,1734.3832,2.409996,30
glucose_120m_mean,1713.5841,2.3810947,30
carbs_on_board,1626.2333,2.2597172,30
hour_sin,1489.6013,2.0698617,30
hour_cos,1451.8884,2.017458,30
glucose_60m_std,1447.3925,2.0112107,30
heart_rate,1442.6349,2.0045998,30
steps_150m_sum,1366.0454,1.8981757,30
basal_rate,1350.6514,1.876785,30
bolus_60m_sum,1272.1338,1.7676816,30
glucose_low_cap,26.197147,0.036402002,30
glucose,38996.754,38.487957,60
glucose_velocity,16251.136,16.039104,60
glucose_30m_mean,6817.8965,6.728942,60
heart_rate_30m_mean,4698.25,4.636951,60
glucose_120m_mean,3561.2568,3.5147924,60
basal_coverage_24h,3154.7874,3.1136262,60
insulin_on_board,3150.0742,3.1089747,60
glucose_60m_mean,3055.6226,3.0157552,60
hour_sin,2976.201,2.9373698,60
hour_cos,2953.3225,2.91479,60
heart_rate,2896.905,2.8591084,60
carbs_on_board,2821.1736,2.784365,60
glucose_60m_std,2796.875,2.7603836,60
steps_150m_sum,2511.6953,2.4789248,60
bolus_60m_sum,2318.8018,2.2885478,60
basal_rate,2303.9238,2.273864,60
glucose_low_cap,57.299686,0.056552086,60
glucose,42131.098,33.13488,90
glucose_velocity,19758.8,15.539721,90
glucose_30m_mean,9714.364,7.6400642,90
heart_rate_30m_mean,6216.71,4.8892612,90
glucose_120m_mean,5504.8784,4.3294263,90
hour_cos,4486.5283,3.5285237,90
hour_sin,4472.9624,3.5178545,90
heart_rate,4395.7207,3.457106,90
basal_coverage_24h,4375.22,3.440983,90
glucose_60m_std,4131.167,3.2490423,90
insulin_on_board,4046.472,3.1824322,90
glucose_60m_mean,4046.4365,3.1824043,90
carbs_on_board,3755.7576,2.9537938,90
steps_150m_sum,3573.5454,2.8104892,90
bolus_60m_sum,3376.9612,2.6558816,90
basal_rate,3079.5376,2.4219663,90
glucose_low_cap,84.138176,0.06617222,90
