model,horizon_min,zone,mae,rmse,n
xgboost_n300,30,hypo,11.773035049438477,15.144318580627441,3631
xgboost_n300,30,tir,9.30530834197998,13.478401184082031,32470
xgboost_n300,30,hyper,14.210772514343262,19.75139617919922,9294
xgboost_n300,30,all,10.507020950317383,15.104921340942383,45395
xgboost_n300,60,hypo,27.592769622802734,32.46328353881836,3629
xgboost_n300,60,tir,16.456003189086914,22.55158805847168,32479
xgboost_n300,60,hyper,29.227834701538086,38.24385452270508,9287
xgboost_n300,60,all,19.95919418334961,27.337541580200195,45395
xgboost_n300,90,hypo,40.822906494140625,46.4564094543457,3625
xgboost_n300,90,tir,20.63709831237793,27.55277442932129,32493
xgboost_n300,90,hyper,40.865509033203125,51.54887008666992,9277
xgboost_n300,90,all,26.38294219970703,35.47929763793945,45395
